timestamp,yaw, pitch, roll
1448785261601,-33.6,-33,19.2
1448785261893,-134,34.1,24.7
1448785262185,-40.8,-44,18.8
1448785262477,-124,44.3,25.9
1448785262770,-53.8,-54,18.6
1448785263062,-107,53.3,26.9
1448785263354,-73.8,-64,18.5
1448785263647,-84.9,59.7,27.6
1448785263940,-98.2,-70,18.7
1448785264232,-61.6,61.9,28.1
1448785264525,-119,-70,19
1448785264795,-44.3,58.9,28.2
1448785265087,-132,-63,19.4
1448785265402,-33.4,52,28
1448785265672,-141,-53,19.9
1448785265965,-26.7,42.8,27.5
1448785266257,-146,-42,20.5
1448785266550,-22.6,32.5,26.8
1448785266842,-149,-31,21.3
1448785267135,-20.3,21.6,26
1448785267428,-151,-19,22.2
1448785267720,-19.3,10.3,25.1
1448785268012,-151,-8.3,23.3
1448785268305,-19.4,-1.1,24.2
1448785268575,-151,3.1,24.4
1448785268867,-20.5,-12,23.3
1448785269160,-149,14.4,25.6
1448785269475,-23.2,-24,22.6
1448785269745,-145,25.4,26.9
1448785270037,-27.8,-35,22.1
1448785270330,-139,35.8,28.1
1448785270622,-36.1,-46,21.7
1448785270915,-128,45.3,29.2
1448785271207,-51,-56,21.6
1448785271500,-108,53.1,30.1
1448785271792,-76.4,-64,21.6
1448785272063,-79,58,30.8
1448785272377,-107,-68,21.8
1448785272647,-51.7,58.6,31.1
1448785272963,-128,-66,21.4
1448785273255,-35.3,55.4,30.4
1448785273525,-141,-59,21.8
1448785273818,-25.3,48,30.1
1448785274110,-148,-49,22.6
